#node	date	numeric date
NODE_0000000	1873-03-23	1873.224534
NODE_0000001	1964-12-23	1964.978046
FJ161211_1	2006-05-08	2006.349315
NODE_0000002	1974-01-04	1974.010172
MG912594_1	1997-01-01	1997.000000
NODE_0000003	1978-11-09	1978.855853
KJ755978_1	2007-04-06	2007.261644
NODE_0000004	1997-04-01	1997.246861
KJ755976_1	2005-03-11	2005.190411
NODE_0000005	2000-05-28	2000.405567
KJ755980_1	2009-03-18	2009.209589
NODE_0000006	2002-09-07	2002.682384
MN630020_1	2010-10-04	2010.757534
NODE_0000007	2009-07-08	2009.515537
KT588921_1	2013-07-14	2013.532877
KJ755982_1	2011-03-10	2011.187671
NODE_0000008	1894-11-06	1894.847864
KC164758_1	2013-02-01	2013.086301
NODE_0000009	1910-02-04	1910.094341
NODE_0000010	1915-12-15	1915.954942
HM562900_1	2007-01-01	2007.000000
NODE_0000011	1916-05-02	1916.333695
NODE_0000012	--	--
MN822013_1	--	--
NODE_0000013	--	--
MN145872_1	--	--
JF727650_1	--	--
NODE_0000014	1972-12-06	1972.930568
NODE_0000015	1996-10-11	1996.778124
MG912590_1	1997-01-01	1997.000000
HM439386_1	1997-01-01	1997.000000
NODE_0000016	1979-10-25	1979.814465
JN635408_1	2005-01-01	2005.000000
NODE_0000017	2000-02-28	2000.159274
NODE_0000018	2003-03-31	2003.244248
KT732217_1	2005-10-01	2005.749315
NODE_0000019	2003-06-03	2003.419850
KY969478_1	2014-01-01	2014.000000
NODE_0000020	2003-07-10	2003.522207
KT732223_1	2005-01-01	2005.001370
NODE_0000021	2004-10-14	2004.786864
KT732221_1	2005-01-01	2005.001370
KT732219_1	2005-01-01	2005.001370
NODE_0000022	2001-01-10	2001.025105
KT732215_1	2005-07-01	2005.497260
NODE_0000023	2009-09-30	2009.747816
NODE_0000024	2009-10-07	2009.764408
MK513614_1	2010-04-01	2010.247945
MK513610_1	2010-04-01	2010.247945
NODE_0000025	2009-11-09	2009.856659
NODE_0000026	2010-04-25	2010.313545
MK513620_1	2010-05-01	2010.330137
MK513618_1	2010-05-01	2010.330137
NODE_0000027	2009-11-09	2009.856659
NODE_0000028	2010-02-09	2010.107931
MK513604_1	2010-04-01	2010.247945
NODE_0000029	2010-02-15	2010.124522
MK513598_1	2010-03-01	2010.163014
MK513612_1	2010-04-01	2010.247945
NODE_0000030	2009-11-09	2009.856659
MK513622_1	2010-06-01	2010.415068
NODE_0000031	2009-12-29	2009.992083
MK513616_1	2010-04-01	2010.247945
NODE_0000032	2010-01-16	2010.043133
NODE_0000033	2010-02-23	2010.146422
MK513606_1	2010-04-01	2010.247945
MK513600_1	2010-03-01	2010.163014
NODE_0000034	2010-01-16	2010.043133
MK513602_1	2010-04-01	2010.247945
MK513608_1	2010-04-01	2010.247945
NODE_0000035	1921-12-25	1921.981747
MF775733_1	2014-05-10	2014.354795
NODE_0000036	1934-12-07	1934.933362
NODE_0000037	1952-01-17	1952.043954
JN635406_1	2008-01-01	2008.000000
NODE_0000038	1954-10-15	1954.786317
NODE_0000039	2007-05-18	2007.376673
MN630022_1	2012-11-15	2012.872951
KY969476_1	2010-01-01	2010.000000
NODE_0000040	1970-02-15	1970.123332
GQ376027_1	1999-01-01	1999.000000
AB481088_1	1989-01-01	1989.000000
NODE_0000041	1937-04-27	1937.319193
NODE_0000042	2002-09-06	2002.680402
JN635402_1	2009-01-01	2009.000000
NODE_0000043	2004-03-15	2004.202671
MF449469_1	2011-05-03	2011.335616
NODE_0000044	2004-06-15	2004.454520
KT732225_1	2005-05-01	2005.330137
NODE_0000045	2004-12-11	2004.943766
KT732229_1	2005-05-01	2005.330137
KT732227_1	2005-12-01	2005.916438
NODE_0000046	1939-05-28	1939.404834
JN635410_1	2003-01-01	2003.000000
NODE_0000047	1970-11-30	1970.912882
KC117298_1	2010-03-26	2010.231507
NODE_0000048	1980-09-18	1980.715687
NODE_0000049	1998-07-23	1998.556338
JN635404_1	2009-01-01	2009.000000
NODE_0000050	2000-05-07	2000.349440
KY969480_1	2010-01-01	2010.000000
NODE_0000051	2001-04-25	2001.314399
KT732231_1	2005-05-01	2005.330137
NODE_0000052	2008-04-08	2008.270360
NODE_0000053	2010-09-05	2010.676760
MF496201_1	2018-10-01	2018.749315
MK161348_1	2018-08-04	2018.590411
NODE_0000054	2008-06-14	2008.453215
MH631016_1	2016-10-31	2016.831967
NODE_0000055	2009-06-02	2009.418906
MH173047_1	2014-11-01	2014.834247
NODE_0000056	2009-08-16	2009.622412
MK513626_1	2010-05-01	2010.330137
MK513624_1	2010-04-01	2010.247945
NODE_0000057	1997-10-26	1997.817125
KJ018971_2	2010-03-31	2010.245205
NODE_0000058	1998-01-12	1998.032736
NODE_0000059	2011-03-31	2011.246227
KJ410048_1	2013-05-10	2013.354795
NODE_0000060	2011-10-27	2011.821878
KU728743_1	2014-08-29	2014.658904
NODE_0000061	2013-08-24	2013.644941
MK142916_1	2014-07-14	2014.532877
MK142914_1	2014-05-03	2014.335616
NODE_0000062	2004-07-02	2004.501593
KT732237_1	2005-11-01	2005.834247
NODE_0000063	2004-07-02	2004.501933
KT732233_1	2005-08-01	2005.582192
NODE_0000064	2004-07-02	2004.501933
NODE_0000065	2004-09-08	2004.686627
KT732253_1	2005-04-01	2005.247945
KT732243_1	2005-02-01	2005.086301
NODE_0000066	2004-07-02	2004.501933
KT732241_1	2005-11-01	2005.834247
NODE_0000067	2004-09-19	2004.716448
KT732259_1	2005-05-01	2005.330137
NODE_0000068	2004-09-22	2004.726617
NODE_0000069	2004-09-29	2004.743208
KT732235_1	2005-10-01	2005.749315
NODE_0000070	2004-10-05	2004.759800
KT732239_1	2005-11-01	2005.834247
NODE_0000071	2004-10-05	2004.759800
MG912592_1	2013-01-01	2013.000000
KT732261_1	2005-07-01	2005.497260
NODE_0000072	2004-10-26	2004.819533
KT732245_1	2005-02-01	2005.086301
NODE_0000073	2004-11-02	2004.836125
NODE_0000074	2004-11-08	2004.852716
KT732247_1	2005-03-01	2005.163014
KT732255_1	2005-04-01	2005.247945
NODE_0000075	2005-03-21	2005.218998
KT732249_1	2005-04-01	2005.247945
NODE_0000076	2005-03-26	2005.232633
KT732257_1	2005-04-01	2005.247945
KT732251_1	2005-04-01	2005.247945
